,Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021
18,Biochemistry,32,37,18,42,18
19,Biology,27,33,27,59,31
20,Chemistry,5,5,4,6,3
21,Computer Science,6,5,3,14,11
22,Dual-Major,5,22,11,15,12
23,Human Development & Family Sciences,1,3,1,6,7
24,Mathematics,3,7,7,9,5
25,Medical Laboratory Science,1,1,2,2,1
26,Neuroscience,18,23,19,30,17
27,Nutritional Sciences,1,1,0,5,2
28,Physics,1,2,0,4,4
29,Public Health,8,11,5,21,14
30,Textiles & Apparel,1,0,0,2,1
